,PC1,PC2,PC3,PC4,PC5,PC6
win rate,-0.282668254623921,-0.2386426348364918,0.2576922035007548,-0.05550624047130523,0.22026797237431778,-0.0001149703996465692
avg-hit score,-0.1514869086377574,0.1706511026998759,-0.4507077039401445,0.26517196001451904,0.04505262721930673,-0.299096079049257
dealer-repeat rate,-0.2200565425460343,0.1276645436425601,0.028620099076242033,0.30344042489810735,0.4261778017063984,0.36592656742462754
avg-score balance per-round,-0.35162349921080027,0.10612758785300844,0.005297534383429099,0.04312623775355499,0.04599686952903231,-0.03669939340717168
deal-in rate,0.30328538091143625,-0.05116683237587879,0.08661785871410979,-0.033595218526433684,0.33051865949372633,0.09024157061286704
avg-deal-in score,0.12268408306138183,-0.354920009860898,0.033292508126436034,0.3850361844649994,-0.3168642631551851,-0.07863913886926148
draw-tenpai rate,-0.02811533141231534,0.2627062102421162,0.5002910222894723,0.23141170301703737,-0.14662804171855923,-0.04746220236028234
draw rate,0.05876956554322837,0.44385675790305346,-0.09803079746090917,0.3971634974839802,-0.3053347678475109,0.32930022264120057
total-reach rate,-0.03984938109218645,-0.3173707968250807,0.14020213872645582,0.5840362188688295,0.14478574584297152,-0.340932822803182
reach-success rate,-0.2601361875794101,-0.24024600276998515,-0.26955330874505795,-0.12168694734585513,0.10666928617397842,0.18172749160565693
reach-deal-in rate,0.24251145442694813,-0.2171020448713733,0.19299368486904833,0.06395483283319374,0.3599058733334446,0.002366376051327116
reach: avg-wait-tile count,-0.19613036298017983,-0.2257907256811706,-0.20329288624304961,0.28846182686084204,0.060140225417296356,0.44367865229380826
total-call rate,-0.12608855439122715,0.2146264807817627,0.4904211523879237,-0.017687139557682478,0.06297693038207933,0.19556499382492998
avg-shanten-at-start,0.004057206625019125,0.42766399213766576,-0.12623028435428557,0.07171314042449348,0.4543956899207955,-0.40553929161291913
avg-rank,0.3544067300071023,0.022349878609277084,-0.07882854791065545,0.06773745047193441,0.09214376508551267,0.11642755906494803
first-place rate,-0.3193253919199718,0.015994446434853805,-0.02335598433422561,-0.12081883007809331,0.05896170311649644,0.10742048864152615
top-two rate,-0.33624210223597384,0.006859723547745892,0.05968388979446118,-0.0021527072776027414,-0.03920239784148517,-0.1760465750366219
last-avoid rate,-0.3012051808266455,-0.07373218408995463,0.15309848176448512,-0.06436569892557933,-0.22781296714746158,-0.2129843564960888
