player,win rate,avg-hit score,dealer-repeat rate,avg-score balance per-round,deal-in rate,avg-deal-in score,draw-tenpai rate,draw rate,total-reach rate,reach-success rate,reach-deal-in rate,reach: avg-wait-tile count,total-call rate,avg-shanten-at-start,avg-rank,first-place rate,top-two rate,last-avoid rate
Sonoda_Ken,0.2315,7083,0.4255,604,0.1098,4530,0.5152,0.1958,0.2493,0.4405,0.0714,2.52,0.365,3.57,2.26,0.3704,0.5556,0.8148
Suzuki_Taro,0.2315,7400,0.3902,378,0.1029,4372,0.4043,0.1511,0.2186,0.5735,0.1324,3.19,0.3183,3.56,2.32,0.36,0.6,0.72
Asami_Maki,0.1887,8650,0.3455,307,0.0802,4982,0.3636,0.1557,0.2028,0.4651,0.093,2.86,0.2925,3.63,2.17,0.4444,0.6111,0.7778
Watanabe_Futoshi,0.2271,6669,0.35,29,0.1104,6249,0.4906,0.1672,0.2397,0.4605,0.0789,2.74,0.3123,3.55,2.15,0.2692,0.6923,0.8846
Nikaido_Aki,0.2077,6819,0.3333,112,0.089,5103,0.5167,0.178,0.2136,0.4583,0.125,2.57,0.2315,3.59,2.46,0.2143,0.5,0.8214
Katsumata_Kenji,0.2006,6284,0.3494,-463,0.1563,6138,0.4259,0.1593,0.2065,0.3714,0.2,2.67,0.2153,3.6,2.67,0.2593,0.4074,0.6667
Matsugase_Takaya,0.1917,6713,0.3827,-290,0.1086,6103,0.3492,0.2013,0.2268,0.507,0.169,2.69,0.2428,3.61,2.84,0.12,0.4,0.64
Nikaido_Rumi,0.1421,7731,0.2727,-225,0.1202,5127,0.4048,0.2295,0.2022,0.4054,0.0541,2.46,0.1475,3.67,2.94,0.125,0.375,0.5625
Sasaki_Hisato,0.2153,6823,0.4,322,0.0708,5385,0.44,0.2044,0.2016,0.5,0.0811,3.08,0.2698,3.52,2.13,0.3333,0.6333,0.9
Takamiya_Mari,0.1542,6927,0.3214,-364,0.1308,6018,0.5435,0.215,0.215,0.3478,0.1739,2.83,0.2944,3.52,2.79,0.1053,0.4211,0.6842
Date_Arisa,0.2248,6981,0.3784,146,0.1141,5074,0.3636,0.1846,0.255,0.5395,0.1184,3.25,0.255,3.51,2.43,0.3043,0.5652,0.6957
Takizawa_Kazunori,0.189,7284,0.2836,-54,0.0962,6307,0.3966,0.1993,0.2405,0.4857,0.1,2.94,0.2027,3.56,2.54,0.25,0.4583,0.75
Oi_Takaharu,0.1509,6269,0.2549,-422,0.125,4217,0.4,0.2155,0.1638,0.3684,0.0526,2.68,0.2112,3.53,2.84,0.2105,0.3158,0.6316
Shiratori_Sho,0.2368,6453,0.386,297,0.0943,5456,0.4605,0.1747,0.223,0.4948,0.0928,2.91,0.3149,3.54,2.23,0.3714,0.5429,0.8571
Matsumoto_Yoshihiro,0.168,6498,0.1852,-626,0.144,5958,0.4318,0.176,0.272,0.4118,0.1765,2.93,0.212,3.54,2.91,0.0455,0.4091,0.6364
Hinata_Aiko,0.2321,6973,0.3103,166,0.1013,6104,0.303,0.1392,0.211,0.54,0.14,2.74,0.211,3.52,2.35,0.2,0.5,0.95
Kayamori_Sayaka,0.2134,7089,0.4,-33,0.1304,5048,0.4583,0.1897,0.2451,0.4677,0.1452,2.95,0.2134,3.64,2.9,0.1429,0.4286,0.5238
Daigo_Dai,0.2287,7532,0.4222,553,0.0997,4041,0.3571,0.2053,0.2111,0.5833,0.0556,3.13,0.2669,3.61,2.12,0.3462,0.6538,0.8846
Takeuchi_Genta,0.2193,7183,0.3333,365,0.0831,4124,0.4792,0.1595,0.1894,0.5614,0.1228,3.05,0.2392,3.6,2.15,0.3462,0.6154,0.8846
Asai_Dogi,0.195,6895,0.3333,-320,0.1064,8017,0.3585,0.1879,0.2518,0.5352,0.0986,3.11,0.2234,3.54,2.74,0.2174,0.4348,0.6087
Hagiwara_Masato,0.1881,7892,0.3043,-50,0.116,5400,0.3833,0.1881,0.2163,0.4493,0.1304,2.77,0.2257,3.62,2.5,0.125,0.5833,0.7917
Setokuma_Naoki,0.2353,6886,0.2632,108,0.1008,5871,0.4063,0.1345,0.2941,0.5143,0.1286,2.94,0.1597,3.46,2.24,0.3333,0.5714,0.8571
Kurosawa_Saki,0.1992,7487,0.3443,82,0.1144,4896,0.2632,0.161,0.1864,0.6136,0.0455,2.91,0.1017,3.51,2.4,0.35,0.55,0.7
Honda_Tomohiro,0.2005,7014,0.3542,220,0.1138,4555,0.4353,0.2304,0.2385,0.4432,0.0909,2.69,0.2873,3.53,2.39,0.2581,0.5161,0.8387
Kobayashi_Go,0.2284,5428,0.2222,-186,0.1207,4796,0.4865,0.1595,0.1853,0.4884,0.093,2.6,0.3836,3.58,2.52,0.1905,0.5714,0.7143
Mizuhara_Akina,0.2271,6142,0.3378,54,0.1051,5071,0.413,0.1559,0.2203,0.4769,0.1385,2.68,0.2712,3.57,2.36,0.32,0.6,0.72
Suzuki_Yu,0.2138,6785,0.3867,151,0.1184,4722,0.371,0.2039,0.2336,0.5352,0.0563,2.82,0.2829,3.63,2.26,0.3478,0.5652,0.8261
Nakabayashi_Kei,0.2136,7093,0.3494,253,0.0929,5167,0.4,0.1703,0.2043,0.5758,0.0758,3,0.2693,3.57,2.22,0.2963,0.5556,0.9259
Uchikawa_Kotaro,0.2437,5941,0.3214,-133,0.1345,5997,0.4054,0.1555,0.2479,0.4576,0.1525,2.81,0.2479,3.46,2.53,0.2105,0.4211,0.8421
Okada_Sayaka,0.1414,6093,0.2273,-866,0.1515,5953,0.35,0.202,0.1667,0.3636,0.2121,2.48,0.2626,3.55,3.29,0.0588,0.2353,0.4118
Hori_Kengo,0.1961,6732,0.3654,18,0.1065,5550,0.4938,0.1961,0.2034,0.4524,0.119,2.89,0.2615,3.53,2.45,0.303,0.4545,0.7879
Shibukawa_Nanba,0.208,6613,0.3165,66,0.1193,4410,0.4098,0.1865,0.2508,0.439,0.0732,2.82,0.2722,3.68,2.41,0.2593,0.5556,0.7778
Sarukawa_Masatoshi,0.1815,6347,0.3333,-506,0.1459,5288,0.3636,0.1566,0.2349,0.3788,0.2121,2.48,0.2384,3.57,2.92,0.125,0.2917,0.6667
Sugawara_Hironae,0.2058,6146,0.3867,-256,0.1408,5672,0.4151,0.1913,0.2238,0.4032,0.1774,2.76,0.2238,3.61,2.7,0.1739,0.4348,0.6957
Suzuki_Daisuke,0.1877,7463,0.3763,174,0.118,4595,0.5263,0.2038,0.2011,0.4,0.12,2.83,0.2869,3.63,2.55,0.2759,0.4828,0.6897
Nakata_Kana,0.1554,6538,0.2727,-858,0.1833,5024,0.3846,0.1554,0.2231,0.4464,0.2143,2.75,0.1833,3.55,3.25,0.1,0.2,0.45
