player,PC2,PC3
Kurosawa_Saki,-1.459526612,-3.974983381
Nikaido_Rumi,3.186240348,-2.754361029
Asami_Maki,1.27220417,-1.763368161
Daigo_Dai,1.113315888,-1.576491646
Asai_Dogi,-2.41342092,-1.387774779
Takizawa_Kazunori,-0.629979453,-1.293767094
Hagiwara_Masato,0.718887997,-1.243225145
Oi_Takaharu,2.10025934,-0.907520728
Nakata_Kana,-1.217907329,-0.773054886
Matsugase_Takaya,-0.072835721,-0.743924609
Date_Arisa,-1.612356384,-0.66601286
Hinata_Aiko,-2.610086283,-0.652761225
Nakabayashi_Kei,-0.27612897,-0.608981703
Kayamori_Sayaka,0.590870076,-0.438754552
Suzuki_Yu,1.038580633,-0.393167435
Takeuchi_Genta,0.44661356,-0.264969406
Suzuki_Taro,-0.593176319,-0.225208652
Okada_Sayaka,0.623137551,-0.158268931
Sasaki_Hisato,0.301087318,0.124979856
Setokuma_Naoki,-4.008494944,0.150852532
Shibukawa_Nanba,1.305905347,0.260240747
Matsumoto_Yoshihiro,-1.804958891,0.283814185
Suzuki_Daisuke,2.811264134,0.483762224
Honda_Tomohiro,1.437056619,0.609219424
Hori_Kengo,0.508899263,0.747829381
Sarukawa_Masatoshi,-0.693551893,0.767327405
Sugawara_Hironae,0.064398236,0.791800429
Nikaido_Aki,0.947866195,0.996886587
Katsumata_Kenji,-0.554675245,1.021752605
Mizuhara_Akina,-0.549289571,1.234408356
Takamiya_Mari,1.151235895,1.513588404
Shiratori_Sho,-0.283510131,1.540007019
Uchikawa_Kotaro,-2.921432529,1.86186868
Watanabe_Futoshi,-0.476130234,2.082408555
Sonoda_Ken,2.018835544,2.402432723
Kobayashi_Go,0.540803317,2.95341711
